Date,Price,volume,open_price,Year,USDZAR Curncy,W 1 Comdty,W 2 Comdty,WZ1 Comdty,YW1 Comdty,year_month,max_temp,precipitation,avg_temp,min_temp,active_flag,day
2015-05-04,3797,79.0,3765.0,2015,12.0593,469.25,472.75,2570.0,2330.0,201505,72.3207,0.5341665,59.485,46.63575,0,Monday
2015-05-11,3868,581.0,3853.0,2015,12.0816,476.25,481.0,2780.0,2422.0,201505,72.3207,0.5341665,59.485,46.63575,0,Monday
2015-05-18,3821,93.0,3830.0,2015,11.8793,521.75,529.25,2844.0,2403.0,201505,72.3207,0.5341665,59.485,46.63575,0,Monday
2015-05-25,3800,76.0,3792.0,2015,11.9375,,,2868.0,2455.0,201505,72.3207,0.5341665,59.485,46.63575,0,Monday
2015-06-01,3851,672.0,3830.0,2015,12.2635,493.75,498.75,2733.0,2400.0,201506,63.05725,2.1875,51.9028,40.727,0,Monday
2015-06-08,3859,159.0,3865.0,2015,12.4753,528.0,534.0,2799.0,2466.0,201506,63.05725,2.1875,51.9028,40.727,0,Monday
2015-06-15,3843,19.0,3840.0,2015,12.4028,489.25,495.25,2834.0,2483.0,201506,63.05725,2.1875,51.9028,40.727,0,Monday
2015-06-22,3840,414.0,3838.0,2015,12.0992,501.25,506.0,2932.0,2466.0,201506,63.05725,2.1875,51.9028,40.727,0,Monday
2015-06-29,3835,551.0,3860.0,2015,12.2431,580.5,583.5,3146.0,2692.0,201506,63.05725,2.1875,51.9028,40.727,0,Monday
2015-07-06,3845,87.0,3815.0,2015,12.3909,588.5,595.5,3123.0,2753.0,201507,62.4922,1.8325,51.78335,41.06535,0,Monday
2015-07-13,3890,253.0,3888.0,2015,12.4499,586.75,575.75,3338.0,2881.0,201507,62.4922,1.8325,51.78335,41.06535,0,Monday
2015-07-20,3890,212.0,3899.0,2015,12.4361,532.75,542.5,3259.0,2825.0,201507,62.4922,1.8325,51.78335,41.06535,0,Monday
2015-07-27,3905,1078.0,3880.0,2015,12.6196,502.5,511.75,3084.0,2711.0,201507,62.4922,1.8325,51.78335,41.06535,0,Monday
2015-08-03,4014,669.0,3997.0,2015,12.686,499.0,505.0,3155.0,2686.0,201508,70.00540000000001,0.8999999999999999,57.2852,44.55515,0,Monday
2015-08-17,4059,602.0,4036.0,2015,12.9092,500.5,504.5,2987.0,2670.0,201508,70.00540000000001,0.8999999999999999,57.2852,44.55515,0,Monday
2015-08-24,4159,2284.0,4130.0,2015,13.2328,503.25,508.0,3024.0,2702.0,201508,70.00540000000001,0.8999999999999999,57.2852,44.55515,0,Monday
2015-08-31,4155,577.0,4150.0,2015,13.2799,482.5,485.0,3099.0,2799.0,201508,70.00540000000001,0.8999999999999999,57.2852,44.55515,0,Monday
2015-09-07,4225,973.0,4200.0,2015,13.9727,,,3072.0,2816.0,201509,72.96164999999999,1.4025,61.19525,49.4125,0,Monday
2015-09-14,4142,297.0,4160.0,2015,13.4887,485.75,501.25,3158.0,2906.0,201509,72.96164999999999,1.4025,61.19525,49.4125,0,Monday
2015-09-21,4025,576.0,4000.4,2015,13.4727,496.75,504.0,3086.0,2820.0,201509,72.96164999999999,1.4025,61.19525,49.4125,0,Monday
2015-09-28,4184,1066.0,4175.0,2015,14.061,505.5,512.75,3244.0,2973.0,201509,72.96164999999999,1.4025,61.19525,49.4125,0,Monday
2015-10-05,4119,1227.0,4151.0,2015,13.6189,515.5,521.5,3280.0,2940.0,201510,79.6812,0.964167,67.0968,54.4973,0,Monday
2015-10-12,4169,2179.0,4147.0,2015,13.3235,506.75,514.5,3234.0,2848.0,201510,79.6812,0.964167,67.0968,54.4973,0,Monday
2015-10-19,4172,734.0,4170.0,2015,13.2911,485.75,493.25,3166.0,2805.0,201510,79.6812,0.964167,67.0968,54.4973,0,Monday
2015-10-26,4338,761.0,4315.0,2015,13.6392,509.0,514.75,3134.0,2890.0,201510,79.6812,0.964167,67.0968,54.4973,0,Monday
2015-11-02,4324,417.0,4310.0,2015,13.7862,508.0,512.0,3184.0,3040.0,201511,78.94555,1.5133335,66.4661,53.9725,0,Monday
2015-11-09,4379,1671.0,4379.0,2015,14.3002,501.75,505.5,3286.0,3053.0,201511,78.94555,1.5133335,66.4661,53.9725,0,Monday
2015-11-16,4541,3145.0,4522.0,2015,14.3149,494.0,495.5,3072.0,3042.0,201511,78.94555,1.5133335,66.4661,53.9725,0,Monday
2015-11-23,4439,2050.0,4492.0,2015,14.0872,495.0,497.75,3313.0,3210.0,201511,78.94555,1.5133335,66.4661,53.9725,0,Monday
2015-11-30,4563,4880.0,4520.0,2015,14.448,460.0,475.5,3430.0,3430.0,201511,78.94555,1.5133335,66.4661,53.9725,0,Monday
2015-12-07,4541,826.0,4536.0,2015,14.539,470.25,482.75,3695.0,3500.0,201512,85.73525,1.2983335,73.6113,61.47285,0,Monday
2015-12-14,4552,237.0,4600.0,2015,15.1077,487.75,493.5,3901.0,3403.0,201512,85.73525,1.2983335,73.6113,61.47285,0,Monday
2015-12-21,4677,658.0,4600.0,2015,15.0977,479.0,486.25,4206.0,3650.0,201512,85.73525,1.2983335,73.6113,61.47285,0,Monday
2016-05-09,4589,171.0,4570.0,2016,15.1674,447.0,456.5,4695.0,3250.0,201605,68.9519,1.1949999999999998,58.1836,47.40915,0,Monday
2016-05-16,4747,100.0,4750.0,2016,15.6522,474.75,484.0,4878.0,3460.0,201605,68.9519,1.1949999999999998,58.1836,47.40915,0,Monday
2016-05-23,4742,127.0,4775.0,2016,15.7218,462.0,473.0,4862.0,3543.0,201605,68.9519,1.1949999999999998,58.1836,47.40915,0,Monday
2016-05-30,4865,418.0,4830.0,2016,15.8133,,,5068.0,3812.0,201605,68.9519,1.1949999999999998,58.1836,47.40915,0,Monday
2016-06-06,4725,65.0,4818.0,2016,14.9078,507.5,517.75,4799.0,3726.0,201606,64.7989,1.206667,53.7778,42.7453,0,Monday
2016-06-13,4664,122.0,4630.0,2016,15.171,491.25,503.25,4923.0,3836.0,201606,64.7989,1.206667,53.7778,42.7453,0,Monday
