Date,Price,volume,open_price,Year,USDZAR Curncy,W 1 Comdty,W 2 Comdty,WZ1 Comdty,YW1 Comdty,year_month,max_temp,precipitation,avg_temp,min_temp,active_flag,day
2015-05-05,3826,545.0,3800.0,2015,11.9801,464.0,466.5,2570.0,2315.0,201505,72.3207,0.5341665,59.485,46.63575,0,Tuesday
2015-05-12,3860,101.0,3875.0,2015,12.0661,479.25,480.5,2760.0,2390.0,201505,72.3207,0.5341665,59.485,46.63575,0,Tuesday
2015-05-19,3819,14.0,3830.0,2015,11.9086,510.25,518.5,2799.0,2400.0,201505,72.3207,0.5341665,59.485,46.63575,0,Tuesday
2015-05-26,3815,83.0,3815.0,2015,12.0838,493.5,501.0,2850.0,2452.0,201505,72.3207,0.5341665,59.485,46.63575,0,Tuesday
2015-06-02,3840,330.0,3855.0,2015,12.1968,512.5,517.25,2740.0,2408.0,201506,63.05725,2.1875,51.9028,40.727,0,Tuesday
2015-06-09,3829,246.0,3843.0,2015,12.4295,532.25,538.75,2879.0,2530.0,201506,63.05725,2.1875,51.9028,40.727,0,Tuesday
2015-06-23,3840,49.0,3850.0,2015,12.1691,521.5,527.0,2956.0,2489.0,201506,63.05725,2.1875,51.9028,40.727,0,Tuesday
2015-06-30,3835,460.0,3828.0,2015,12.1688,614.75,615.75,3148.0,2680.0,201506,63.05725,2.1875,51.9028,40.727,0,Tuesday
2015-07-07,3858,184.0,3850.0,2015,12.453,579.5,585.25,3173.0,2796.0,201507,62.4922,1.8325,51.78335,41.06535,0,Tuesday
2015-07-14,3895,177.0,3890.0,2015,12.3234,583.5,571.0,3302.0,2866.0,201507,62.4922,1.8325,51.78335,41.06535,0,Tuesday
2015-07-21,3900,394.0,3905.0,2015,12.3273,524.75,533.25,3235.0,2782.0,201507,62.4922,1.8325,51.78335,41.06535,0,Tuesday
2015-07-28,3900,419.0,3910.0,2015,12.5681,510.75,520.25,3088.0,2679.0,201507,62.4922,1.8325,51.78335,41.06535,0,Tuesday
2015-08-04,4020,678.0,4008.0,2015,12.7352,493.5,500.25,3165.0,2698.0,201508,70.00540000000001,0.8999999999999999,57.2852,44.55515,0,Tuesday
2015-08-11,4030,170.0,4031.0,2015,12.7864,507.25,512.25,3138.0,2720.0,201508,70.00540000000001,0.8999999999999999,57.2852,44.55515,0,Tuesday
2015-08-18,4070,605.0,4065.0,2015,12.9052,494.25,498.75,2956.0,2663.0,201508,70.00540000000001,0.8999999999999999,57.2852,44.55515,0,Tuesday
2015-08-25,4145,1119.0,4172.0,2015,13.1951,495.0,499.5,3002.0,2733.0,201508,70.00540000000001,0.8999999999999999,57.2852,44.55515,0,Tuesday
2015-09-01,4165,903.0,4151.0,2015,13.4464,484.0,486.25,3095.0,2781.0,201509,72.96164999999999,1.4025,61.19525,49.4125,0,Tuesday
2015-09-08,4194,939.0,4208.0,2015,13.7223,465.25,475.0,3073.0,2835.0,201509,72.96164999999999,1.4025,61.19525,49.4125,0,Tuesday
2015-09-15,4077,833.0,4147.0,2015,13.4676,494.75,502.5,3129.0,2881.0,201509,72.96164999999999,1.4025,61.19525,49.4125,0,Tuesday
2015-09-22,4090,1376.0,4050.0,2015,13.6795,495.5,502.75,3131.0,2870.0,201509,72.96164999999999,1.4025,61.19525,49.4125,0,Tuesday
2015-09-29,4183,761.0,4200.0,2015,13.9797,503.75,511.25,3241.0,2984.0,201509,72.96164999999999,1.4025,61.19525,49.4125,0,Tuesday
2015-10-06,4149,583.0,4125.0,2015,13.5194,526.25,533.0,3285.0,2938.0,201510,79.6812,0.964167,67.0968,54.4973,0,Tuesday
2015-10-13,4200,1686.0,4180.0,2015,13.5577,519.0,527.0,3230.0,2855.0,201510,79.6812,0.964167,67.0968,54.4973,0,Tuesday
2015-10-20,4198,352.0,4172.0,2015,13.298,491.25,498.25,3202.0,2853.0,201510,79.6812,0.964167,67.0968,54.4973,0,Tuesday
2015-10-27,4328,1831.0,4350.0,2015,13.6749,509.25,514.25,3117.0,2941.0,201510,79.6812,0.964167,67.0968,54.4973,0,Tuesday
2015-11-03,4330,950.0,4311.0,2015,13.7401,516.5,519.5,3230.0,3006.0,201511,78.94555,1.5133335,66.4661,53.9725,0,Tuesday
2015-11-10,4390,1844.0,4380.0,2015,14.2668,490.75,495.5,3274.0,3025.0,201511,78.94555,1.5133335,66.4661,53.9725,0,Tuesday
2015-11-17,4500,1528.0,4545.0,2015,14.2724,487.5,487.0,3081.0,3072.0,201511,78.94555,1.5133335,66.4661,53.9725,0,Tuesday
2015-11-24,4450,3394.0,4470.0,2015,14.0286,484.25,488.5,3302.0,3226.0,201511,78.94555,1.5133335,66.4661,53.9725,0,Tuesday
2015-12-01,4585,1478.0,4563.0,2015,14.4382,456.5,471.5,3425.0,3430.0,201512,85.73525,1.2983335,73.6113,61.47285,0,Tuesday
2015-12-08,4560,529.0,4551.0,2015,14.5929,470.75,481.5,3699.0,3497.0,201512,85.73525,1.2983335,73.6113,61.47285,0,Tuesday
2015-12-15,4568,532.0,4597.0,2015,14.9292,494.25,500.25,3958.0,3419.0,201512,85.73525,1.2983335,73.6113,61.47285,0,Tuesday
2015-12-22,4722,113.0,4677.0,2015,15.1593,471.75,479.0,4129.0,3690.0,201512,85.73525,1.2983335,73.6113,61.47285,0,Tuesday
2016-05-03,4460,181.0,4435.0,2016,14.6397,459.75,470.75,4496.0,3173.0,201605,68.9519,1.1949999999999998,58.1836,47.40915,0,Tuesday
